0X0CFF00 0X71
0X0CFFA1 0X14
0X0CFFA2 0X14
0X0CFFA3 0X8D
0X0CFFA4 0XBB
0X0CFFA5 0X41
0X0CFFA6 0X50
0X0CFFA7 0XB4
0X0CFFA8 0XC0
0X0CFFA9 0XC1
0X0CFFAA 0X4F
0X0CFFAB 0XE0
0X0CFFAC 0X25
0X0CFFAD 0X76
0X0CFFAE 0XF1
0X0CFFAF 0XF1
0X0CFFB0 0X29
0X0CFFB1 0X40
0X0CFFB2 0XFA
0X0CFFB3 0X1D
0X0CFFB4 0XF8
0X0CFFB5 0XC7
0X0CFFB6 0X2E
0X0CFFB7 0X58
0X0CFFB8 0X07
0X0CFFB9 0X75
0X0CFFBA 0X1A
0X0CFFBB 0X9B
0X0CFFBC 0X1C
0X0CFFBD 0X85
0X0CFFBE 0XB5
0X0CFFBF 0X06
0X0CFFC0 0XE9
0X0CFFC1 0XE5
0X0CFFC2 0X37
0X0CFFC3 0X7B
0X0CFFC4 0X44
0X0CFFC5 0XF6
0X0CFFC6 0XC4
0X0CFFC7 0X0D
0X0CFFC8 0X30
0X0CFFC9 0XE8
0X0CFFCA 0X87
0X0CFFCB 0X6E
0X0CFFCC 0X67
0X0CFFCD 0X4E
0X0CFFCE 0XA2
0X0CFFCF 0X31
0X0CFFD0 0X2A
0X0CFFD1 0X9E
0X0CFFD2 0X1B
0X0CFFD3 0X3B
0X0CFFD4 0XDB
0X0CFFD5 0XCE
0X0CFFD6 0X28
0X0CFFD7 0XD8
0X0CFFD8 0XFB
0X0CFFD9 0X54
0X0CFFDA 0XFC
0X0CFFDB 0XE7
0X0CFFDC 0XEE
0X0CFFDD 0XA8
0X0CFFDE 0X43
0X0CFFDF 0XBD
0X0CFFE0 0X56
0X0CFFE1 0X6B
0X0CFFE2 0XCE
0X0CFFE3 0X10
0X0CFFE4 0XC7
0X0CFFE5 0XD3
0X0CFFE6 0XE9
0X0CFFE7 0XA0
0X0CFFE8 0XEF
0X0CFFE9 0XA5
0X0CFFEA 0XB6
0X0CFFEB 0X67
0X0CFFEC 0X5A
0X0CFFED 0XB0
0X0CFFEE 0X3B
0X0CFFEF 0XA1
0X0CFFF0 0XCD
0X0CFFF1 0X88
0X0CFFF2 0X69
0X0CFFF3 0X44
0X0CFFF4 0X06
0X0CFFF5 0X7C
0X0CFFF6 0XC1
0X0CFFF7 0X90
0X0CFFF8 0X11
0X0CFFF9 0X2B
0X0CFFFA 0X13
0X0CFFFB 0XB8
0X0CFFFC 0X6D
0X0CFFFD 0X7E
0X0CFFFE 0XB1
0X0CFFFF 0X26
