0X0FFF00 0X99
0X0FFF74 0XF7
0X0FFF75 0X64
0X0FFF76 0X10
0X0FFF77 0XC2
0X0FFF78 0X47
0X0FFF79 0X92
0X0FFF7A 0XF7
0X0FFF7B 0XCE
0X0FFF7C 0XEF
0X0FFF7D 0XA6
0X0FFF7E 0XE7
0X0FFF7F 0XDB
0X0FFF80 0XAD
0X0FFF81 0X5A
0X0FFF82 0XCD
0X0FFF83 0X5B
0X0FFF84 0XFA
0X0FFF85 0X7C
0X0FFF86 0X05
0X0FFF87 0X29
0X0FFF88 0X37
0X0FFF89 0X2D
0X0FFF8A 0XE4
0X0FFF8B 0XDC
0X0FFF8C 0X23
0X0FFF8D 0X0E
0X0FFF8E 0X30
0X0FFF8F 0X81
0X0FFF90 0XA0
0X0FFF91 0XDA
0X0FFF92 0XA8
0X0FFF93 0XDA
0X0FFF94 0XE2
0X0FFF95 0X9F
0X0FFF96 0X7A
0X0FFF97 0X30
0X0FFF98 0XD5
0X0FFF99 0XD4
0X0FFF9A 0X53
0X0FFF9B 0X9D
0X0FFF9C 0X37
0X0FFF9D 0X3F
0X0FFF9E 0X6A
0X0FFF9F 0XD8
0X0FFFA0 0X3E
0X0FFFA1 0X36
0X0FFFA2 0X1D
0X0FFFA3 0X9D
0X0FFFA4 0XC4
0X0FFFA5 0X65
0X0FFFA6 0XCD
0X0FFFA7 0XCD
0X0FFFA8 0X54
0X0FFFA9 0XBD
0X0FFFAA 0X52
0X0FFFAB 0X1A
0X0FFFAC 0XE0
0X0FFFAD 0X46
0X0FFFAE 0XD1
0X0FFFAF 0X1A
0X0FFFB0 0X1F
0X0FFFB1 0XD3
0X0FFFB2 0XE2
0X0FFFB3 0XCD
0X0FFFB4 0X4F
0X0FFFB5 0XF2
0X0FFFB6 0X8A
0X0FFFB7 0XEB
0X0FFFB8 0X07
0X0FFFB9 0X7D
0X0FFFBA 0XCD
0X0FFFBB 0X42
0X0FFFBC 0XB0
0X0FFFBD 0X2D
0X0FFFBE 0X3E
0X0FFFBF 0X85
0X0FFFC0 0XA3
0X0FFFC1 0XA7
0X0FFFC2 0X4C
0X0FFFC3 0X14
0X0FFFC4 0X49
0X0FFFC5 0XCA
0X0FFFC6 0X12
0X0FFFC7 0XE9
0X0FFFC8 0X6A
0X0FFFC9 0X84
0X0FFFCA 0XB8
0X0FFFCB 0X8E
0X0FFFCC 0X17
0X0FFFCD 0X68
0X0FFFCE 0X4E
0X0FFFCF 0XE9
0X0FFFD0 0X97
0X0FFFD1 0XEC
0X0FFFD2 0X20
0X0FFFD3 0X8A
0X0FFFD4 0X7E
0X0FFFD5 0X8D
0X0FFFD6 0X6B
0X0FFFD7 0XA1
0X0FFFD8 0X9C
0X0FFFD9 0X30
0X0FFFDA 0XC8
0X0FFFDB 0XE7
0X0FFFDC 0X31
0X0FFFDD 0XCD
0X0FFFDE 0X6C
0X0FFFDF 0X68
0X0FFFE0 0XD0
0X0FFFE1 0X67
0X0FFFE2 0X65
0X0FFFE3 0XD0
0X0FFFE4 0XD7
0X0FFFE5 0XB5
0X0FFFE6 0XF6
0X0FFFE7 0XA1
0X0FFFE8 0XE1
0X0FFFE9 0X82
0X0FFFEA 0X28
0X0FFFEB 0XD5
0X0FFFEC 0X4D
0X0FFFED 0XCD
0X0FFFEE 0XF0
0X0FFFEF 0XD4
0X0FFFF0 0X20
0X0FFFF1 0XC6
0X0FFFF2 0X09
0X0FFFF3 0XBB
0X0FFFF4 0X42
0X0FFFF5 0X4A
0X0FFFF6 0XCA
0X0FFFF7 0XFA
0X0FFFF8 0XF8
0X0FFFF9 0XF6
0X0FFFFA 0X0B
0X0FFFFB 0X4D
0X0FFFFC 0X1E
0X0FFFFD 0X32
0X0FFFFE 0XE5
0X0FFFFF 0X33
