0X06FF00 0XE7
0X06FF8A 0XD2
0X06FF8B 0X2B
0X06FF8C 0X4D
0X06FF8D 0XCF
0X06FF8E 0X2A
0X06FF8F 0XF4
0X06FF90 0X2E
0X06FF91 0X18
0X06FF92 0X22
0X06FF93 0X4F
0X06FF94 0X5C
0X06FF95 0X61
0X06FF96 0XC1
0X06FF97 0XAB
0X06FF98 0XD6
0X06FF99 0XF0
0X06FF9A 0XB1
0X06FF9B 0X06
0X06FF9C 0X82
0X06FF9D 0X50
0X06FF9E 0X67
0X06FF9F 0XB9
0X06FFA0 0XD1
0X06FFA1 0X77
0X06FFA2 0XFD
0X06FFA3 0X50
0X06FFA4 0XC4
0X06FFA5 0X52
0X06FFA6 0X24
0X06FFA7 0X41
0X06FFA8 0XD3
0X06FFA9 0X80
0X06FFAA 0X1A
0X06FFAB 0X5D
0X06FFAC 0XB7
0X06FFAD 0X3B
0X06FFAE 0X81
0X06FFAF 0X1D
0X06FFB0 0X97
0X06FFB1 0X8D
0X06FFB2 0XB4
0X06FFB3 0XB5
0X06FFB4 0X44
0X06FFB5 0X3F
0X06FFB6 0X52
0X06FFB7 0X57
0X06FFB8 0X0E
0X06FFB9 0X57
0X06FFBA 0X32
0X06FFBB 0XD2
0X06FFBC 0X6C
0X06FFBD 0XC4
0X06FFBE 0XA5
0X06FFBF 0X11
0X06FFC0 0X49
0X06FFC1 0X81
0X06FFC2 0X6B
0X06FFC3 0XF4
0X06FFC4 0XD6
0X06FFC5 0X28
0X06FFC6 0XC1
0X06FFC7 0XE3
0X06FFC8 0X66
0X06FFC9 0XE4
0X06FFCA 0XD1
0X06FFCB 0XEC
0X06FFCC 0X6A
0X06FFCD 0X6A
0X06FFCE 0X95
0X06FFCF 0X04
0X06FFD0 0X36
0X06FFD1 0X53
0X06FFD2 0X6C
0X06FFD3 0XBE
0X06FFD4 0X5A
0X06FFD5 0X45
0X06FFD6 0X3A
0X06FFD7 0XC4
0X06FFD8 0XC4
0X06FFD9 0X77
0X06FFDA 0X59
0X06FFDB 0X55
0X06FFDC 0XB6
0X06FFDD 0X8B
0X06FFDE 0X5E
0X06FFDF 0X5B
0X06FFE0 0X11
0X06FFE1 0X9A
0X06FFE2 0XFE
0X06FFE3 0X44
0X06FFE4 0XB0
0X06FFE5 0XC0
0X06FFE6 0XAA
0X06FFE7 0X1C
0X06FFE8 0X09
0X06FFE9 0X06
0X06FFEA 0XC4
0X06FFEB 0XB8
0X06FFEC 0X17
0X06FFED 0X9B
0X06FFEE 0XC4
0X06FFEF 0XC4
0X06FFF0 0XED
0X06FFF1 0X91
0X06FFF2 0X86
0X06FFF3 0X2B
0X06FFF4 0XE8
0X06FFF5 0XEF
0X06FFF6 0XFE
0X06FFF7 0X76
0X06FFF8 0XDF
0X06FFF9 0X3E
0X06FFFA 0X13
0X06FFFB 0X59
0X06FFFC 0X91
0X06FFFD 0XC5
0X06FFFE 0X50
0X06FFFF 0X86
